node_id,latitude,longitude,district,street_count,betweenness,source
osm_172917671_31.3151_30.0651,31.315109,30.065094,Abu Qir,,,overpass_live
osm_651985494_31.3152_30.0613,31.315185,30.061291,Abu Qir,,,overpass_live
osm_691682572_31.3156_30.0642,31.315579,30.064225,Abu Qir,,,overpass_live
osm_653031050_31.3161_30.0603,31.316146,30.060294,Abu Qir,,,overpass_live
osm_653031049_31.3163_30.0603,31.316276,30.06033,Abu Qir,,,overpass_live
osm_653042479_31.3163_30.0643,31.31629,30.064328,Abu Qir,,,overpass_live
osm_653042476_31.3165_30.0644,31.316487,30.064445,Abu Qir,,,overpass_live
osm_653042479_31.3165_30.0642,31.316489,30.06422,Abu Qir,,,overpass_live
osm_745303372_31.3166_30.0626,31.316581,30.062551,Abu Qir,,,overpass_live
osm_172917039_31.3166_30.0619,31.316643,30.06193,Abu Qir,,,overpass_live
osm_745303368_31.3167_30.0624,31.316675,30.062358,Abu Qir,,,overpass_live
osm_745303369_31.3168_30.0626,31.316768,30.062587,Abu Qir,,,overpass_live
osm_653099322_31.3168_30.0697,31.316799,30.069673,Abu Qir,,,overpass_live
osm_745303368_31.3168_30.0624,31.316818,30.062412,Abu Qir,,,overpass_live
osm_652023308_31.3168_30.0622,31.316839,30.062165,Abu Qir,,,overpass_live
osm_745303369_31.3169_30.0622,31.316884,30.062185,Abu Qir,,,overpass_live
osm_745303370_31.317_30.0626,31.316995,30.062631,Abu Qir,,,overpass_live
osm_745303370_31.3171_30.0623,31.317099,30.062277,Abu Qir,,,overpass_live
osm_652019692_31.3173_30.0615,31.317339,30.061481,Abu Qir,,,overpass_live
osm_745303371_31.3173_30.0627,31.317348,30.0627,Abu Qir,,,overpass_live
osm_745303371_31.3175_30.0624,31.317456,30.06242,Abu Qir,,,overpass_live
osm_745303372_31.3175_30.0627,31.317525,30.062735,Abu Qir,,,overpass_live
osm_745303375_31.3176_30.0627,31.317613,30.062744,Abu Qir,,,overpass_live
osm_745303373_31.3177_30.0626,31.3177,30.062559,Abu Qir,,,overpass_live
osm_289520800_31.3177_30.0665,31.317716,30.066546,Abu Qir,,,overpass_live
osm_689991355_31.3178_30.0618,31.317817,30.061793,Abu Qir,,,overpass_live
osm_745303376_31.3179_30.0621,31.317855,30.062068,Abu Qir,,,overpass_live
osm_690692607_31.3179_30.06,31.317866,30.060004,Abu Qir,,,overpass_live
osm_652019694_31.3179_30.0604,31.317881,30.060398,Abu Qir,,,overpass_live
osm_745303374_31.3179_30.0627,31.317892,30.062662,Abu Qir,,,overpass_live
osm_652023308_31.318_30.0618,31.317999,30.061786,Abu Qir,,,overpass_live
osm_690692602_31.318_30.0606,31.318015,30.06064,Abu Qir,,,overpass_live
osm_653088990_31.3181_30.0653,31.318066,30.065299,Abu Qir,,,overpass_live
osm_691691013_31.3181_30.0618,31.318074,30.061824,Abu Qir,,,overpass_live
osm_745303374_31.3181_30.0628,31.318089,30.062824,Abu Qir,,,overpass_live
osm_745303375_31.3181_30.0622,31.318096,30.062157,Abu Qir,,,overpass_live
osm_745303377_31.3182_30.0626,31.318189,30.062565,Abu Qir,,,overpass_live
osm_653088990_31.3183_30.0659,31.318271,30.065901,Abu Qir,,,overpass_live
osm_689991353_31.3183_30.0611,31.318292,30.061143,Abu Qir,,,overpass_live
osm_691691013_31.3183_30.0612,31.318325,30.061201,Abu Qir,,,overpass_live
osm_652019693_31.3183_30.062,31.318329,30.061965,Abu Qir,,,overpass_live
osm_745303376_31.3184_30.0623,31.318361,30.062255,Abu Qir,,,overpass_live
osm_745303377_31.3184_30.0622,31.318408,30.062162,Abu Qir,,,overpass_live
osm_652019694_31.3185_30.0615,31.318487,30.061495,Abu Qir,,,overpass_live
osm_652023297_31.3185_30.0727,31.318498,30.072733,Abu Qir,,,overpass_live
osm_652023307_31.3185_30.0621,31.318535,30.062091,Abu Qir,,,overpass_live
osm_652363097_31.3186_30.0631,31.318572,30.063112,Abu Qir,,,overpass_live
osm_652363097_31.3186_30.0631,31.318632,30.063103,Abu Qir,,,overpass_live
osm_653042476_31.3186_30.0644,31.318643,30.06444,Abu Qir,,,overpass_live
osm_691691016_31.3187_30.0616,31.318661,30.061577,Abu Qir,,,overpass_live
osm_691691012_31.3188_30.0622,31.318755,30.062218,Abu Qir,,,overpass_live
osm_653083401_31.3188_30.0727,31.318795,30.072727,Abu Qir,,,overpass_live
osm_692804615_31.3188_30.0639,31.318803,30.0639,Abu Qir,,,overpass_live
osm_653083401_31.3189_30.0759,31.318883,30.075854,Abu Qir,,,overpass_live
osm_691497530_31.3189_30.0661,31.31889,30.066053,Abu Qir,,,overpass_live
osm_692804617_31.3189_30.0631,31.318901,30.06306,Abu Qir,,,overpass_live
osm_652363095_31.319_30.0624,31.319016,30.062378,Abu Qir,,,overpass_live
osm_691498177_31.319_30.0657,31.319032,30.065719,Abu Qir,,,overpass_live
osm_289520800_31.3191_30.0624,31.319101,30.062426,Abu Qir,,,overpass_live
osm_691498098_31.3191_30.0654,31.319118,30.065364,Abu Qir,,,overpass_live
osm_691949648_31.3192_30.0651,31.319162,30.065065,Abu Qir,,,overpass_live
osm_692810224_31.3192_30.0646,31.319211,30.06464,Abu Qir,,,overpass_live
osm_692804619_31.3193_30.0639,31.319283,30.063947,Abu Qir,,,overpass_live
osm_651910803_31.3193_30.0625,31.319285,30.062513,Abu Qir,,,overpass_live
osm_692804615_31.3194_30.064,31.319436,30.063962,Abu Qir,,,overpass_live
osm_652363095_31.3195_30.062,31.319512,30.061977,Abu Qir,,,overpass_live
osm_692804617_31.3196_30.0632,31.319609,30.063218,Abu Qir,,,overpass_live
osm_652019691_31.3196_30.0622,31.319636,30.062186,Abu Qir,,,overpass_live
osm_652023306_31.3197_30.0611,31.319657,30.061142,Abu Qir,,,overpass_live
osm_692804616_31.3197_30.0631,31.319657,30.063126,Abu Qir,,,overpass_live
osm_692810224_31.3197_30.0641,31.319686,30.064111,Abu Qir,,,overpass_live
osm_691498178_31.3198_30.0654,31.319765,30.0654,Abu Qir,,,overpass_live
osm_691949648_31.3199_30.0643,31.319859,30.064338,Abu Qir,,,overpass_live
osm_691497533_31.3199_30.0628,31.319931,30.062825,Abu Qir,,,overpass_live
osm_652023302_31.32_30.0696,31.319975,30.069586,Abu Qir,,,overpass_live
osm_691498098_31.32_30.0645,31.32,30.064514,Abu Qir,,,overpass_live
osm_652019690_31.3201_30.0608,31.32011,30.0608,Abu Qir,,,overpass_live
osm_652019693_31.3202_30.0601,31.320163,30.060076,Abu Qir,,,overpass_live
osm_691498177_31.3202_30.0648,31.320198,30.064767,Abu Qir,,,overpass_live
osm_691691012_31.3203_30.0611,31.320268,30.061075,Abu Qir,,,overpass_live
osm_692804616_31.3203_30.0649,31.32031,30.06491,Abu Qir,,,overpass_live
osm_691691016_31.3203_30.0603,31.320315,30.060295,Abu Qir,,,overpass_live
osm_651910805_31.3205_30.0631,31.320522,30.063082,Abu Qir,,,overpass_live
osm_651899426_31.3206_30.0631,31.320564,30.063101,Abu Qir,,,overpass_live
osm_691498178_31.3209_30.0656,31.320869,30.065593,Abu Qir,,,overpass_live
osm_653086215_31.3209_30.0655,31.320933,30.065503,Abu Qir,,,overpass_live
osm_559102691_31.321_30.0635,31.321025,30.063457,Abu Qir,,,overpass_live
osm_653086215_31.3211_30.0657,31.321064,30.065699,Abu Qir,,,overpass_live
osm_652023307_31.3212_30.06,31.321168,30.060018,Abu Qir,,,overpass_live
osm_691497530_31.3213_30.0637,31.321332,30.063653,Abu Qir,,,overpass_live
osm_651910803_31.3214_30.0602,31.321394,30.060223,Abu Qir,,,overpass_live
osm_691497533_31.3217_30.0606,31.321669,30.060634,Abu Qir,,,overpass_live
osm_651899431_31.3217_30.0637,31.321713,30.063705,Abu Qir,,,overpass_live
osm_691497528_31.3219_30.0655,31.321916,30.065464,Abu Qir,,,overpass_live
osm_691497531_31.322_30.0637,31.321959,30.063733,Abu Qir,,,overpass_live
osm_651910805_31.322_30.0611,31.32198,30.061102,Abu Qir,,,overpass_live
osm_552793438_31.322_30.0642,31.321987,30.064197,Abu Qir,,,overpass_live
osm_236017247_31.322_30.0642,31.32204,30.064236,Abu Qir,,,overpass_live
osm_691497529_31.3221_30.0658,31.322065,30.065826,Abu Qir,,,overpass_live
osm_691691017_31.3221_30.0624,31.322068,30.062425,Abu Qir,,,overpass_live
osm_651899357_31.3221_30.0624,31.322093,30.062389,Abu Qir,,,overpass_live
osm_651899431_31.3222_30.0639,31.322245,30.063883,Abu Qir,,,overpass_live
osm_691497528_31.3223_30.0649,31.322276,30.06492,Abu Qir,,,overpass_live
osm_652023298_31.3224_30.0725,31.32241,30.072466,Abu Qir,,,overpass_live
osm_652023296_31.3224_30.0709,31.322422,30.070941,Abu Qir,,,overpass_live
osm_652023303_31.3224_30.0679,31.322445,30.067948,Abu Qir,,,overpass_live
osm_652023302_31.3225_30.0695,31.322457,30.069548,Abu Qir,,,overpass_live
osm_651899359_31.3225_30.064,31.3225,30.063998,Abu Qir,,,overpass_live
osm_651899426_31.3225_30.0616,31.322535,30.06165,Abu Qir,,,overpass_live
osm_559102691_31.3226_30.0617,31.322611,30.061715,Abu Qir,,,overpass_live
osm_289520801_31.3226_30.0648,31.322641,30.064751,Abu Qir,,,overpass_live
osm_691497529_31.3227_30.0648,31.322736,30.064834,Abu Qir,,,overpass_live
osm_653042409_31.3229_30.0709,31.322929,30.070912,Abu Qir,,,overpass_live
osm_653042414_31.323_30.0719,31.322951,30.07191,Abu Qir,,,overpass_live
osm_651899362_31.323_30.065,31.322963,30.06505,Abu Qir,,,overpass_live
osm_653042409_31.323_30.0724,31.322963,30.072447,Abu Qir,,,overpass_live
osm_653042450_31.323_30.0664,31.323027,30.066418,Abu Qir,,,overpass_live
osm_653042450_31.3232_30.066,31.323157,30.066046,Abu Qir,,,overpass_live
osm_651899368_31.3232_30.0634,31.32318,30.063441,Abu Qir,,,overpass_live
osm_653086237_31.3232_30.0656,31.32319,30.065636,Abu Qir,,,overpass_live
osm_653042436_31.3232_30.0677,31.323192,30.067671,Abu Qir,,,overpass_live
osm_653042430_31.3232_30.0694,31.323244,30.069425,Abu Qir,,,overpass_live
osm_653042439_31.3232_30.0706,31.323245,30.070625,Abu Qir,,,overpass_live
osm_653042436_31.3232_30.0708,31.323246,30.070782,Abu Qir,,,overpass_live
osm_651899433_31.3233_30.0644,31.32334,30.064421,Abu Qir,,,overpass_live
osm_691497531_31.3234_30.0617,31.323391,30.061688,Abu Qir,,,overpass_live
osm_651899357_31.3237_30.0639,31.323652,30.063899,Abu Qir,,,overpass_live
osm_653042447_31.3237_30.0673,31.323662,30.067327,Abu Qir,,,overpass_live
osm_552793438_31.3237_30.0618,31.323695,30.061784,Abu Qir,,,overpass_live
osm_653042454_31.3237_30.0673,31.323741,30.067288,Abu Qir,,,overpass_live
osm_651899359_31.3239_30.062,31.323899,30.061966,Abu Qir,,,overpass_live
osm_653042430_31.324_30.0694,31.323998,30.069385,Abu Qir,,,overpass_live
osm_651899429_31.3241_30.0631,31.324076,30.063107,Abu Qir,,,overpass_live
osm_651899368_31.3241_30.0622,31.324085,30.062158,Abu Qir,,,overpass_live
osm_651899350_31.3242_30.0625,31.324219,30.062494,Abu Qir,,,overpass_live
osm_653042447_31.3242_30.0707,31.324244,30.070739,Abu Qir,,,overpass_live
osm_289520801_31.3243_30.0624,31.324284,30.062385,Abu Qir,,,overpass_live
osm_651899362_31.3244_30.0627,31.324379,30.062673,Abu Qir,,,overpass_live
osm_653042443_31.3244_30.067,31.324437,30.067031,Abu Qir,,,overpass_live
osm_653042417_31.3245_30.0708,31.324458,30.070848,Abu Qir,,,overpass_live
osm_653042417_31.3245_30.0724,31.32448,30.072393,Abu Qir,,,overpass_live
osm_653042414_31.3247_30.0718,31.324672,30.071846,Abu Qir,,,overpass_live
osm_652023296_31.3249_30.0707,31.32488,30.070719,Abu Qir,,,overpass_live
osm_653042402_31.3249_30.071,31.324905,30.071039,Abu Qir,,,overpass_live
osm_653042402_31.3249_30.0724,31.324925,30.072407,Abu Qir,,,overpass_live
osm_653042396_31.3252_30.0696,31.325157,30.069554,Abu Qir,,,overpass_live
osm_653042443_31.3252_30.067,31.325192,30.067035,Abu Qir,,,overpass_live
osm_651899350_31.3255_30.0639,31.325485,30.063935,Abu Qir,,,overpass_live
osm_653042396_31.3264_30.0695,31.326384,30.069479,Abu Qir,,,overpass_live
osm_653042390_31.3266_30.072,31.3266,30.072025,Abu Qir,,,overpass_live
osm_652023297_31.3272_30.0718,31.327157,30.071767,Abu Qir,,,overpass_live
osm_653042381_31.3273_30.0722,31.327265,30.072154,Abu Qir,,,overpass_live
osm_653042375_31.3279_30.0813,31.327899,30.081323,Abu Qir,,,overpass_live
osm_653083408_31.3281_30.0743,31.328086,30.07432,Abu Qir,,,overpass_live
osm_653054945_31.3289_30.0765,31.328897,30.076471,Abu Qir,,,overpass_live
osm_653054943_31.3291_30.0769,31.329053,30.076874,Abu Qir,,,overpass_live
osm_653054973_31.3293_30.0776,31.329325,30.077556,Abu Qir,,,overpass_live
osm_653083408_31.3294_30.0739,31.329415,30.07393,Abu Qir,,,overpass_live
osm_653054948_31.3294_30.0755,31.32942,30.075475,Abu Qir,,,overpass_live
osm_653042381_31.3297_30.0751,31.329682,30.075142,Abu Qir,,,overpass_live
osm_653054948_31.3298_30.0774,31.329824,30.077412,Abu Qir,,,overpass_live
osm_653054972_31.3299_30.079,31.329927,30.079013,Abu Qir,,,overpass_live
osm_653054945_31.33_30.0762,31.329957,30.076158,Abu Qir,,,overpass_live
osm_234941215_31.188_29.9077,31.188019,29.907723,Bab El Hadid,,,overpass_live
osm_30675440_31.1881_29.9093,31.18808,29.909266,Bab El Hadid,,,overpass_live
osm_234941591_31.1881_29.9093,31.188093,29.909298,Bab El Hadid,,,overpass_live
osm_34571019_31.1881_29.9092,31.188133,29.909238,Bab El Hadid,,,overpass_live
osm_234941206_31.1882_29.9083,31.188205,29.908334,Bab El Hadid,,,overpass_live
osm_234941277_31.1882_29.9073,31.188213,29.907329,Bab El Hadid,,,overpass_live
osm_34571019_31.1883_29.9071,31.188286,29.907121,Bab El Hadid,,,overpass_live
osm_30675467_31.1883_29.9069,31.188345,29.906916,Bab El Hadid,,,overpass_live
osm_234941090_31.1884_29.9068,31.188371,29.906803,Bab El Hadid,,,overpass_live
osm_234941571_31.1884_29.9091,31.188423,29.909112,Bab El Hadid,,,overpass_live
osm_745332699_31.1885_29.905,31.188479,29.905044,Bab El Hadid,,,overpass_live
osm_234941172_31.1885_29.9063,31.188543,29.906267,Bab El Hadid,,,overpass_live
osm_234941687_31.1886_29.9095,31.188555,29.909531,Bab El Hadid,,,overpass_live
osm_234941585_31.1886_29.9052,31.188573,29.905249,Bab El Hadid,,,overpass_live
osm_234941493_31.1887_29.9058,31.188678,29.905848,Bab El Hadid,,,overpass_live
osm_234941292_31.1887_29.9056,31.188746,29.905644,Bab El Hadid,,,overpass_live
osm_234941608_31.1888_29.9055,31.188804,29.905468,Bab El Hadid,,,overpass_live
osm_234941131_31.1889_29.9052,31.1889,29.905184,Bab El Hadid,,,overpass_live
osm_234941351_31.1889_29.909,31.188923,29.90903,Bab El Hadid,,,overpass_live
osm_234941654_31.1892_29.91,31.189188,29.909951,Bab El Hadid,,,overpass_live
osm_34571022_31.1892_29.9098,31.189205,29.909754,Bab El Hadid,,,overpass_live
osm_234941292_31.1894_29.905,31.189412,29.905019,Bab El Hadid,,,overpass_live
osm_178934248_31.1895_29.9052,31.189506,29.905242,Bab El Hadid,,,overpass_live
osm_234941172_31.1895_29.9053,31.189546,29.905339,Bab El Hadid,,,overpass_live
osm_693002827_31.1896_29.9095,31.189595,29.909531,Bab El Hadid,,,overpass_live
osm_234941081_31.1897_29.9056,31.189653,29.905613,Bab El Hadid,,,overpass_live
osm_613575219_30.9_29.5448,30.900024,29.544768,Borg El Arab,,,overpass_live
osm_613575220_30.9002_29.5447,30.90017,29.544721,Borg El Arab,,,overpass_live
osm_693043671_30.9002_29.5425,30.900205,29.542469,Borg El Arab,,,overpass_live
osm_613748269_30.9002_29.5436,30.900209,29.543629,Borg El Arab,,,overpass_live
osm_613748284_30.9002_29.5453,30.900222,29.545323,Borg El Arab,,,overpass_live
osm_693021330_30.9002_29.5482,30.900236,29.548198,Borg El Arab,,,overpass_live
osm_613575212_30.9003_29.5475,30.900327,29.547508,Borg El Arab,,,overpass_live
