Alexandria Traffic Edges (Roads) — SmartCityAnalyzer,,,,,,
from_node,to_node,name,length_m,speed_kph,road_type,source
31.0069_29.648,31.0603_29.7484,الطريق الساحلى الدولى الجديد,11057.6,100,Motorway,overpass_live
31.0603_29.7484,31.0605_29.7558,الطريق الساحلى الدولى الجديد,662.9,100,Motorway,overpass_live
31.0609_29.7557,31.0607_29.7483,الطريق الساحلى الدولى الجديد,654.9,100,Motorway,overpass_live
31.0607_29.7483,31.0053_29.644,الطريق الساحلى الدولى الجديد,11470.2,100,Motorway,overpass_live
31.0024_29.6376,31.0051_29.6442,الطريق الساحلى الدولى الجديد,660.3,100,Motorway,overpass_live
31.0026_29.6375,30.9404_29.504,الطريق الساحلى الدولى الجديد,15320.4,100,Motorway,overpass_live
30.929_29.5105,31.0024_29.6376,الطريق الساحلى الدولى الجديد,14004.3,100,Motorway,overpass_live
30.9298_29.5046,30.929_29.5105,الطريق الساحلى الدولى الجديد,674.7,100,Motorway,overpass_live
30.9403_29.5038,30.9298_29.5046,الطريق الساحلى الدولى الجديد,1232.9,100,Motorway,overpass_live
30.9434_29.5016,30.9433_29.5014,الطريق الساحلى الدولى الجديد,771.9,100,Motorway,overpass_live
30.9433_29.5014,30.9403_29.5038,الطريق الساحلى الدولى الجديد,402.3,100,Motorway,overpass_live
30.9404_29.504,30.9434_29.5016,الطريق الساحلى الدولى الجديد,400.4,100,Motorway,overpass_live
31.0051_29.6442,31.0069_29.648,الطريق الساحلى الدولى الجديد,394.1,100,Motorway,overpass_live
31.1551_29.925,31.1629_29.9329,"طريق القاهرة, الاسكندرية الصحراوي",1114.7,110,Motorway,overpass_live
31.163_29.9327,31.1553_29.9248,"طريق القاهرة, الاسكندرية الصحراوي",1110.6,110,Motorway,overpass_live
31.1649_29.935,31.1662_29.9363,"طريق القاهرة, الاسكندرية الصحراوي",186,110,Motorway,overpass_live
30.703_30.0464,30.9586_29.836,"طريق القاهرة, الاسكندرية الصحراوي",34328.9,120,Motorway,overpass_live
30.9587_29.8355,30.9584_29.8356,"طريق القاهرة, الاسكندرية الصحراوي",30.1,120,Motorway,overpass_live
30.9586_29.836,30.9589_29.8358,"طريق القاهرة, الاسكندرية الصحراوي",30.8,120,Motorway,overpass_live
31.0169_29.7954,30.9696_29.8272,"طريق القاهرة, الاسكندرية الصحراوي",6086,120,Motorway,overpass_live
31.1021_29.8607,31.1069_29.8718,"طريق القاهرة, الاسكندرية الصحراوي",1121.2,110,Motorway,overpass_live
31.1662_29.9363,31.1758_29.9312,"طريق القاهرة, الاسكندرية الصحراوي",1172,110,Motorway,overpass_live
31.1797_29.9288,31.1687_29.9347,"طريق القاهرة, الاسكندرية الصحراوي",1332.9,110,Motorway,overpass_live
31.0982_29.8556,31.1021_29.8607,"طريق القاهرة, الاسكندرية الصحراوي",642.1,110,Motorway,overpass_live
31.1023_29.8606,31.098_29.8552,"طريق القاهرة, الاسكندرية الصحراوي",685.2,110,Motorway,overpass_live
31.1758_29.9312,31.1797_29.929,"طريق القاهرة, الاسكندرية الصحراوي",479.4,110,Motorway,overpass_live
31.018_29.795,31.0169_29.7954,"طريق القاهرة, الاسكندرية الصحراوي",120.2,120,Motorway,overpass_live
31.0961_29.8546,31.0982_29.8556,"طريق القاهرة, الاسكندرية الصحراوي",244.8,120,Motorway,overpass_live
31.0907_29.8529,31.0912_29.853,"طريق القاهرة, الاسكندرية الصحراوي",55.1,120,Motorway,overpass_live
31.0912_29.8529,31.0907_29.8527,"طريق القاهرة, الاسكندرية الصحراوي",56.6,120,Motorway,overpass_live
31.098_29.8552,31.0912_29.8529,"طريق القاهرة, الاسكندرية الصحراوي",787.3,120,Motorway,overpass_live
31.0912_29.853,31.0961_29.8546,"طريق القاهرة, الاسكندرية الصحراوي",570.8,120,Motorway,overpass_live
31.0783_29.8411,31.018_29.795,"طريق القاهرة, الاسكندرية الصحراوي",9754.9,120,Motorway,overpass_live
30.9584_29.8356,30.899_29.8747,"طريق القاهرة, الاسكندرية الصحراوي",7482.3,120,Motorway,overpass_live
31.1553_29.9248,31.155_29.9245,"طريق القاهرة, الاسكندرية الصحراوي",42.4,110,Motorway,overpass_live
31.1549_29.9247,31.1551_29.925,"طريق القاهرة, الاسكندرية الصحراوي",39.7,110,Motorway,overpass_live
30.9692_29.8276,30.9587_29.8355,"طريق القاهرة, الاسكندرية الصحراوي",1368.9,120,Motorway,overpass_live
30.9696_29.8272,30.9692_29.8276,"طريق القاهرة, الاسكندرية الصحراوي",54.1,120,Motorway,overpass_live
30.9691_29.8282,30.9694_29.8278,"طريق القاهرة, الاسكندرية الصحراوي",51.8,120,Motorway,overpass_live
30.9589_29.8358,30.9691_29.8282,"طريق القاهرة, الاسكندرية الصحراوي",1325.3,120,Motorway,overpass_live
31.155_29.9245,31.1253_29.8947,"طريق القاهرة, الاسكندرية الصحراوي",4239.2,110,Motorway,overpass_live
31.1687_29.9347,31.163_29.9327,"طريق القاهرة, الاسكندرية الصحراوي",710.5,110,Motorway,overpass_live
31.1629_29.9329,31.1649_29.935,"طريق القاهرة, الاسكندرية الصحراوي",288.6,110,Motorway,overpass_live
31.1202_29.8899,31.1153_29.8842,"طريق القاهرة, الاسكندرية الصحراوي",738.6,110,Motorway,overpass_live
31.1247_29.8943,31.1202_29.8899,"طريق القاهرة, الاسكندرية الصحراوي",640.7,110,Motorway,overpass_live
31.1253_29.8947,31.1247_29.8943,"طريق القاهرة, الاسكندرية الصحراوي",84.7,110,Motorway,overpass_live
31.1073_29.8724,31.1071_29.8719,"طريق القاهرة, الاسكندرية الصحراوي",49,110,Motorway,overpass_live
31.1071_29.8719,31.1023_29.8606,"طريق القاهرة, الاسكندرية الصحراوي",1153.8,110,Motorway,overpass_live
31.1075_29.8729,31.1073_29.8724,"طريق القاهرة, الاسكندرية الصحراوي",44.9,110,Motorway,overpass_live
31.1077_29.8735,31.1075_29.8729,"طريق القاهرة, الاسكندرية الصحراوي",58.7,110,Motorway,overpass_live
31.1153_29.8842,31.1077_29.8735,"طريق القاهرة, الاسكندرية الصحراوي",1294.3,110,Motorway,overpass_live
31.1118_29.8806,31.1152_29.8843,"طريق القاهرة, الاسكندرية الصحراوي",504.9,110,Motorway,overpass_live
31.1253_29.8949,31.1549_29.9247,"طريق القاهرة, الاسكندرية الصحراوي",4233.6,110,Motorway,overpass_live
31.1246_29.8945,31.1253_29.8949,"طريق القاهرة, الاسكندرية الصحراوي",84.3,110,Motorway,overpass_live
31.1201_29.89,31.1246_29.8945,"طريق القاهرة, الاسكندرية الصحراوي",651.6,110,Motorway,overpass_live
31.1152_29.8843,31.1201_29.89,"طريق القاهرة, الاسكندرية الصحراوي",742.6,110,Motorway,overpass_live
31.1073_29.8733,31.1118_29.8806,"طريق القاهرة, الاسكندرية الصحراوي",823.9,110,Motorway,overpass_live
31.1072_29.8729,31.1073_29.8733,"طريق القاهرة, الاسكندرية الصحراوي",38,110,Motorway,overpass_live
31.1069_29.8718,31.107_29.8722,"طريق القاهرة, الاسكندرية الصحراوي",37.4,110,Motorway,overpass_live
31.107_29.8722,31.1072_29.8729,"طريق القاهرة, الاسكندرية الصحراوي",74.5,110,Motorway,overpass_live
31.018_29.7951,31.0781_29.8413,"طريق القاهرة, الاسكندرية الصحراوي",9712.5,120,Motorway,overpass_live
31.017_29.7955,31.018_29.7951,"طريق القاهرة, الاسكندرية الصحراوي",120.5,120,Motorway,overpass_live
30.9694_29.8278,31.017_29.7955,"طريق القاهرة, الاسكندرية الصحراوي",6126.9,120,Motorway,overpass_live
31.0781_29.8413,31.0785_29.8418,"طريق القاهرة, الاسكندرية الصحراوي",59.8,120,Motorway,overpass_live
31.0788_29.8417,31.0783_29.8411,"طريق القاهرة, الاسكندرية الصحراوي",70,120,Motorway,overpass_live
31.0785_29.8418,31.0907_29.8529,"طريق القاهرة, الاسكندرية الصحراوي",1703.9,120,Motorway,overpass_live
31.0907_29.8527,31.0788_29.8417,"طريق القاهرة, الاسكندرية الصحراوي",1679.1,120,Motorway,overpass_live
31.1833_29.9268,31.1797_29.9288,طريق قناه السويس,443.4,110,Motorway,overpass_live
31.1797_29.929,31.1832_29.927,طريق قناه السويس,427,110,Motorway,overpass_live
31.1964_29.9183,31.1917_29.9239,طريق قناه السويس,752,110,Motorway,overpass_live
31.1917_29.924,31.1965_29.9184,طريق قناه السويس,764.7,110,Motorway,overpass_live
31.1841_29.9264,31.1838_29.9265,طريق قناه السويس,36.3,110,Motorway,overpass_live
31.1838_29.9265,31.1833_29.9268,طريق قناه السويس,57.7,110,Motorway,overpass_live
31.1832_29.927,31.1841_29.9265,طريق قناه السويس,115.6,110,Motorway,overpass_live
31.1841_29.9265,31.1917_29.924,كوبرى محرم بك,888.3,110,Motorway,overpass_live
31.1917_29.9239,31.1841_29.9264,كوبرى محرم بك,893.1,110,Motorway,overpass_live
31.1627_29.8609,31.1642_29.8612,محور 54,191.7,110,Motorway,overpass_live
31.1643_29.8611,31.1627_29.8608,محور 54,204.6,110,Motorway,overpass_live
31.1627_29.8608,31.1592_29.8626,محور 54,417.4,110,Motorway,overpass_live
31.1592_29.8627,31.1627_29.8609,محور 54,417,110,Motorway,overpass_live
31.1642_29.8612,31.1649_29.8634,محور 54,211.4,110,Motorway,overpass_live
31.165_29.8634,31.1643_29.8611,محور 54,213.8,110,Motorway,overpass_live
31.1589_29.8629,31.1592_29.8627,محور 54,38.2,110,Motorway,overpass_live
31.1589_29.8628,31.157_29.8638,محور 54,234.4,110,Motorway,overpass_live
31.1592_29.8626,31.1589_29.8628,محور 54,39.6,110,Motorway,overpass_live
31.157_29.8639,31.1589_29.8629,محور 54,238,110,Motorway,overpass_live
31.157_29.8638,31.1566_29.864,محور 54,40.8,110,Motorway,overpass_live
31.1566_29.8641,31.157_29.8639,محور 54,39.8,110,Motorway,overpass_live
31.1566_29.864,31.1444_29.8668,محور 54,1508,110,Motorway,overpass_live
31.1443_29.8668,31.1566_29.8641,محور 54,1799.4,110,Motorway,overpass_live
31.2023_29.9157,31.2013_29.916,نفق الشهيد عبد المنعم رياض,115.2,110,Motorway,overpass_live
31.2013_29.916,31.1964_29.9183,نفق الشهيد عبد المنعم رياض,606.3,110,Motorway,overpass_live
31.2023_29.9158,31.2048_29.9147,نفق الشهيد عبد المنعم رياض,290.6,110,Motorway,overpass_live
31.2013_29.9161,31.2023_29.9158,نفق الشهيد عبد المنعم رياض,115.9,110,Motorway,overpass_live
31.2047_29.9146,31.2023_29.9157,نفق الشهيد عبد المنعم رياض,284.4,110,Motorway,overpass_live
31.1965_29.9184,31.2013_29.9161,نفق الشهيد عبد المنعم رياض,600.5,110,Motorway,overpass_live
31.1795_29.9574,31.1798_29.9582,الطريق الدائري,79.4,60,Primary,overpass_live
31.1693_29.9396,31.1795_29.9574,الطريق الدائري,1971.6,60,Primary,overpass_live
31.1795_29.9574,31.1694_29.9395,الطريق الدائري,1973.3,60,Primary,overpass_live
31.1799_29.9581,31.1795_29.9574,الطريق الدائري,79.3,60,Primary,overpass_live
31.1801_29.9911,31.1817_29.993,الطريق الدائري,243.1,60,Primary,overpass_live
31.1801_29.991,31.1799_29.9907,الطريق الدائري,29,60,Primary,overpass_live
31.1831_29.9943,31.1818_29.9929,الطريق الدائري,195.9,60,Primary,overpass_live
31.1818_29.9929,31.1801_29.991,الطريق الدائري,249,60,Primary,overpass_live
31.1817_29.993,31.183_29.9944,الطريق الدائري,194.1,60,Primary,overpass_live
31.1799_29.9909,31.1801_29.9911,الطريق الدائري,31,60,Primary,overpass_live
31.1662_29.9363,31.1691_29.9392,الطريق الدائري,415.2,60,Primary,overpass_live
31.2108_29.9939,31.2158_29.9942,الطريق الدائري,560.5,60,Primary,overpass_live
31.2017_29.9947,31.2108_29.9939,الطريق الدائري,1011.5,60,Primary,overpass_live
31.2017_29.9946,31.1834_29.9947,الطريق الدائري,2111,60,Primary,overpass_live
31.1833_29.9948,31.2017_29.9947,الطريق الدائري,2119.6,60,Primary,overpass_live
31.1799_29.9907,31.1799_29.9581,الطريق الدائري,3451,60,Primary,overpass_live
31.1834_29.9947,31.1831_29.9943,الطريق الدائري,46.9,60,Primary,overpass_live
31.1692_29.9391,31.1672_29.9361,الطريق الدائري,402.3,60,Primary,overpass_live
31.1691_29.9392,31.1693_29.9396,الطريق الدائري,41.2,60,Primary,overpass_live
31.1798_29.9582,31.1799_29.9909,الطريق الدائري,3464.4,60,Primary,overpass_live
31.1694_29.9395,31.1692_29.9391,الطريق الدائري,42.2,60,Primary,overpass_live
31.183_29.9944,31.1833_29.9948,الطريق الدائري,49.1,60,Primary,overpass_live
31.2158_29.9941,31.2108_29.9938,الطريق الدائري,558.6,60,Primary,overpass_live
31.2108_29.9938,31.2017_29.9946,الطريق الدائري,1009.8,60,Primary,overpass_live
31.2578_30.0158,31.2493_30.0213,الطريق الدولي الساحلى,1123.3,60,Primary,overpass_live
31.2331_30.0414,31.2351_30.0332,الطريق الدولي الساحلى,759.3,60,Primary,overpass_live
31.2493_30.0213,31.2439_30.0216,الطريق الدولي الساحلى,666.4,60,Primary,overpass_live
31.2492_30.0214,31.2584_30.0168,الطريق الدولي الساحلى,1146.3,60,Primary,overpass_live
31.244_30.0217,31.2492_30.0214,الطريق الدولي الساحلى,652.6,60,Primary,overpass_live
31.2439_30.0216,31.2388_30.0267,الطريق الدولي الساحلى,732.2,60,Primary,overpass_live
31.2351_30.0332,31.2388_30.0269,الطريق الدولي الساحلى,733.7,60,Primary,overpass_live
31.235_30.0332,31.233_30.0414,الطريق الدولي الساحلى,762.5,60,Primary,overpass_live
31.2388_30.0269,31.244_30.0217,الطريق الدولي الساحلى,733.7,60,Primary,overpass_live
31.2388_30.0267,31.235_30.0332,الطريق الدولي الساحلى,739.9,60,Primary,overpass_live
31.2279_30.0644,31.2299_30.057,الطريق الساحلى الدولى,702,60,Primary,overpass_live
31.2299_30.057,31.2321_30.0489,الطريق الساحلى الدولى,760.7,60,Primary,overpass_live
31.2298_30.057,31.2277_30.0644,الطريق الساحلى الدولى,697.6,60,Primary,overpass_live
31.232_30.0489,31.2298_30.057,الطريق الساحلى الدولى,763.6,60,Primary,overpass_live
31.233_30.0414,31.232_30.0489,الطريق الساحلى الدولى,682,60,Primary,overpass_live
31.2321_30.0489,31.2331_30.0414,الطريق الساحلى الدولى,682.2,60,Primary,overpass_live
31.2075_29.9656,31.204_29.97,شارع 14 مايو,574.1,60,Primary,overpass_live
31.2142_29.9461,31.2118_29.9548,شارع 14 مايو,828.8,60,Primary,overpass_live
31.204_29.9713,31.2107_29.9588,شارع 14 مايو,1351.7,60,Primary,overpass_live
31.2106_29.9588,31.2075_29.9656,شارع 14 مايو,709.9,60,Primary,overpass_live
31.2119_29.955,31.2145_29.9462,شارع 14 مايو,842.8,60,Primary,overpass_live
31.2661_30.0022,31.2578_30.0142,شارع 45,1426.7,60,Primary,overpass_live
31.2581_30.0156,31.2662_30.0022,شارع 45,1523.4,60,Primary,overpass_live
31.2666_30.0016,31.271_29.9975,شارع 45,621.8,60,Primary,overpass_live
31.2709_29.9971,31.2665_30.0016,شارع 45,632.6,60,Primary,overpass_live
31.2578_30.0142,31.2571_30.0143,شارع 45,81.2,60,Primary,overpass_live
31.2239_29.9464,31.2226_29.9489,شارع ابراهيم شريف,299.5,60,Primary,overpass_live
31.1966_29.8948,31.1952_29.8992,شارع احمد عرابى,413.8,60,Primary,overpass_live
31.323_30.065,31.324_30.067,شارع احمد فهيم,219.1,60,Primary,overpass_live
31.1934_29.8944,31.1917_29.8901,شارع اسحاق النديم,432,60,Primary,overpass_live
31.1449_29.8372,31.1382_29.8268,شارع الدخيله الصحراوى,1204.6,60,Primary,overpass_live
31.1379_29.8267,31.1444_29.8378,شارع الدخيله الصحراوى,1277,60,Primary,overpass_live
31.1917_29.8901,31.1973_29.8924,شارع السبع بنات,654.6,60,Primary,overpass_live
31.1425_29.8416,31.1393_29.8452,شارع السد العالى,479.1,60,Primary,overpass_live
