fact_id,prop_id,area_id,business_type_id,category,street_name,area_sqm,rent_monthly_egp,rent_per_sqm,competitors_500m,competitors_1km,affordability_score,suitability_score,recommended
165,15,43,11,Tourism & Hospitality,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
166,16,43,1,Financial Services,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
167,16,43,2,Food & Beverage,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
168,16,43,3,Food & Beverage,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
169,16,43,4,Food & Beverage,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
170,16,43,5,Food & Beverage,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
171,16,43,6,Health & Fitness,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
172,16,43,7,Healthcare,Alexandria / El Geish Rd.,470,350000,744.68,2,2,0.13,5.92,False
173,16,43,8,Healthcare,Alexandria / El Geish Rd.,470,350000,744.68,2,2,0.13,5.92,False
174,16,43,9,Retail,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
175,16,43,10,Retail,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
176,16,43,11,Tourism & Hospitality,Alexandria / El Geish Rd.,470,350000,744.68,0,0,0.13,6.52,True
177,17,43,1,Financial Services,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
178,17,43,2,Food & Beverage,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
179,17,43,3,Food & Beverage,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
180,17,43,4,Food & Beverage,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
181,17,43,5,Food & Beverage,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
182,17,43,6,Health & Fitness,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
183,17,43,7,Healthcare,Alexandria / El Geish Rd.,60,30000,500,2,2,0.58,7.72,True
184,17,43,8,Healthcare,Alexandria / El Geish Rd.,60,30000,500,2,2,0.58,7.72,True
185,17,43,9,Retail,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
186,17,43,10,Retail,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
187,17,43,11,Tourism & Hospitality,Alexandria / El Geish Rd.,60,30000,500,0,0,0.58,8.32,True
188,18,23,1,Financial Services,Alexandria / El Mandara,70,28000,400,2,4,0.5,6.65,True
189,18,23,2,Food & Beverage,Alexandria / El Mandara,70,28000,400,4,8,0.5,4.92,False
190,18,23,3,Food & Beverage,Alexandria / El Mandara,70,28000,400,4,8,0.5,4.92,False
191,18,23,4,Food & Beverage,Alexandria / El Mandara,70,28000,400,4,8,0.5,4.92,False
192,18,23,5,Food & Beverage,Alexandria / El Mandara,70,28000,400,4,8,0.5,4.92,False
193,18,23,6,Health & Fitness,Alexandria / El Mandara,70,28000,400,0,0,0.5,8,True
194,18,23,7,Healthcare,Alexandria / El Mandara,70,28000,400,3,4,0.5,6.35,True
195,18,23,8,Healthcare,Alexandria / El Mandara,70,28000,400,3,4,0.5,6.35,True
196,18,23,9,Retail,Alexandria / El Mandara,70,28000,400,1,4,0.5,6.95,True
197,18,23,10,Retail,Alexandria / El Mandara,70,28000,400,1,4,0.5,6.95,True
198,18,23,11,Tourism & Hospitality,Alexandria / El Mandara,70,28000,400,1,1,0.5,7.7,True
199,19,23,1,Financial Services,Alexandria / El Mandara Qebli,180,18000,100,2,4,1.25,8.65,True
200,19,23,2,Food & Beverage,Alexandria / El Mandara Qebli,180,18000,100,4,8,1.25,6.93,True
201,19,23,3,Food & Beverage,Alexandria / El Mandara Qebli,180,18000,100,4,8,1.25,6.93,True
202,19,23,4,Food & Beverage,Alexandria / El Mandara Qebli,180,18000,100,4,8,1.25,6.93,True
203,19,23,5,Food & Beverage,Alexandria / El Mandara Qebli,180,18000,100,4,8,1.25,6.93,True
204,19,23,6,Health & Fitness,Alexandria / El Mandara Qebli,180,18000,100,0,0,1.25,10,True
205,19,23,7,Healthcare,Alexandria / El Mandara Qebli,180,18000,100,3,4,1.25,8.35,True
206,19,23,8,Healthcare,Alexandria / El Mandara Qebli,180,18000,100,3,4,1.25,8.35,True
207,19,23,9,Retail,Alexandria / El Mandara Qebli,180,18000,100,1,4,1.25,8.95,True
208,19,23,10,Retail,Alexandria / El Mandara Qebli,180,18000,100,1,4,1.25,8.95,True
209,19,23,11,Tourism & Hospitality,Alexandria / El Mandara Qebli,180,18000,100,1,1,1.25,9.7,True
210,20,43,1,Financial Services,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
211,20,43,2,Food & Beverage,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
212,20,43,3,Food & Beverage,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
213,20,43,4,Food & Beverage,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
214,20,43,5,Food & Beverage,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
215,20,43,6,Health & Fitness,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
216,20,43,7,Healthcare,Alexandria / El-Gaish Rd,560,325000,580.36,2,2,0.43,7.13,True
217,20,43,8,Healthcare,Alexandria / El-Gaish Rd,560,325000,580.36,2,2,0.43,7.13,True
218,20,43,9,Retail,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
219,20,43,10,Retail,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
220,20,43,11,Tourism & Hospitality,Alexandria / El-Gaish Rd,560,325000,580.36,0,0,0.43,7.73,True
221,21,43,1,Financial Services,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
222,21,43,2,Food & Beverage,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
223,21,43,3,Food & Beverage,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
224,21,43,4,Food & Beverage,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
225,21,43,5,Food & Beverage,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
226,21,43,6,Health & Fitness,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
227,21,43,7,Healthcare,Alexandria / El-Gaish Rd,60,19000,316.67,2,2,0.92,9.07,True
228,21,43,8,Healthcare,Alexandria / El-Gaish Rd,60,19000,316.67,2,2,0.92,9.07,True
229,21,43,9,Retail,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
230,21,43,10,Retail,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
231,21,43,11,Tourism & Hospitality,Alexandria / El-Gaish Rd,60,19000,316.67,0,0,0.92,9.67,True
232,22,43,1,Financial Services,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
233,22,43,2,Food & Beverage,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
